Date,High,Low,Open,Close,Volume,Adj Close
2020-01-10,485.75,474.75,482.25,479.75,66000.0,479.75
2020-01-13,472.5,461.0,472.25,463.75,103300.0,463.75
2020-01-14,472.75,464.75,469.25,469.25,80500.0,469.25
2020-01-15,465.25,453.0,464.75,461.75,80200.0,461.75
2020-01-16,475.5,463.75,464.5,470.5,66200.0,470.5
2020-01-17,476.75,467.0,474.0,473.0,61900.0,473.0
2020-01-21,474.25,464.75,465.75,466.5,55400.0,466.5
2020-01-22,451.5,439.0,451.5,441.0,165300.0,441.0
2020-01-23,427.0,411.25,419.25,423.5,230100.0,423.5
2020-01-24,411.5,397.75,410.5,405.5,249300.0,405.5
2020-01-27,393.25,377.5,382.75,383.5,224400.0,383.5
2020-01-28,398.25,384.25,387.75,393.25,124500.0,393.25
2020-01-29,395.75,382.0,395.25,387.25,112600.0,387.25
2020-01-30,382.0,365.75,372.25,382.0,253100.0,382.0
2020-01-31,374.5,355.75,367.25,365.5,262800.0,365.5
2020-02-03,364.5,340.75,358.25,342.75,309400.0,342.75
2020-02-04,355.0,335.75,353.75,338.25,226300.0,338.25
2020-02-05,367.25,348.0,358.0,355.25,250700.0,355.25
2020-02-06,359.25,345.0,351.25,357.0,139700.0,357.0
2020-02-07,356.25,344.25,348.25,347.75,149500.0,347.75
2020-02-10,345.5,334.0,340.5,336.0,199700.0,336.0
2020-02-11,350.25,338.25,350.0,341.75,131200.0,341.75
2020-02-12,364.5,355.25,362.0,361.75,218900.0,361.75
2020-02-13,367.25,358.0,362.0,363.25,109400.0,363.25
2020-02-14,373.0,364.0,370.75,370.75,113600.0,370.75
2020-02-18,371.25,357.75,358.0,370.75,95300.0,370.75
2020-02-19,389.5,376.0,382.5,385.0,130200.0,385.0
2020-02-20,401.75,389.75,394.75,391.5,147200.0,391.5
2020-02-21,386.0,372.0,377.75,382.5,141800.0,382.5
2020-02-24,358.75,341.75,347.5,354.0,255200.0,354.0
2020-02-25,356.25,332.5,355.5,333.75,212500.0,333.75
2020-02-26,341.5,313.25,331.25,318.75,296500.0,318.75
2020-02-27,306.25,282.5,289.25,294.0,333500.0,294.0
2020-02-28,276.5,257.75,272.0,273.25,333600.0,273.25
2020-03-02,300.0,278.5,285.75,299.5,210000.0,299.5
2020-03-03,315.25,288.75,305.25,298.0,281000.0,298.0
2020-03-04,312.75,291.0,311.25,296.5,205200.0,296.5
2020-03-05,296.0,278.5,294.0,282.25,186500.0,282.25
2020-03-06,262.0,223.75,261.0,230.0,745600.0,230.0
2020-03-09,157.5,116.5,138.75,117.25,1500500.0,117.25
2020-03-10,145.75,128.5,136.75,142.25,828900.0,142.25
2020-03-11,136.5,126.5,133.25,131.0,503900.0,131.0
2020-03-12,125.25,112.0,112.25,115.5,547600.0,115.5
2020-03-13,136.75,116.0,128.25,130.0,605500.0,130.0
2020-03-16,109.75,96.25,99.0,98.0,796000.0,98.0
2020-03-17,101.5,85.0,97.5,86.75,868800.0,86.75
2020-03-18,71.0,45.0,67.75,54.25,2287300.0,54.25
2020-03-19,78.5,51.75,54.75,67.0,1758700.0,67.0
2020-03-20,66.75,50.25,64.5,56.5,1873000.0,56.5
2020-03-23,54.5,47.25,51.25,54.25,1597000.0,54.25
2020-03-24,58.25,52.0,58.0,56.0,1159600.0,56.0
2020-03-25,60.0,51.0,53.75,58.25,1230600.0,58.25
2020-03-26,55.75,48.75,54.5,52.25,1875500.0,52.25
2020-03-27,46.25,42.25,46.0,45.0,2525200.0,45.0
2020-03-30,41.0,35.75,39.75,39.75,3474500.0,39.75
2020-03-31,42.5,38.75,42.5,39.75,2084800.0,39.75
2020-04-01,42.5,38.0,40.25,42.25,1571700.0,42.25
2020-04-02,65.5,45.0,46.25,56.25,7070200.0,56.25
2020-04-03,76.75,63.25,68.75,74.0,142286700.0,74.0
2020-04-06,69.0,61.0,66.75,63.0,115482000.0,63.0
2020-04-07,64.25,49.75,62.75,53.5,128554500.0,53.5
2020-04-08,60.0,50.75,53.5,59.0,134277400.0,59.0
2020-04-09,66.75,48.0,59.0,50.5,255253400.0,50.5
2020-04-13,53.0,49.5,51.25,50.75,98724600.0,50.75
2020-04-14,49.0,45.0,48.5,47.0,125354000.0,47.0
2020-04-15,43.0,40.0,42.5,41.75,160736400.0,41.75
2020-04-16,41.0,36.75,41.0,40.75,153472500.0,40.75
2020-04-17,40.75,38.25,39.0,39.5,115798700.0,39.5
2020-04-20,35.75,32.0,33.25,33.75,563963300.0,33.75
2020-04-21,24.690000534057617,11.0,23.299999237060547,14.569999694824219,51827000.0,14.569999694824219
2020-04-22,18.440000534057617,15.460000038146973,16.59000015258789,15.65999984741211,36830400.0,15.65999984741211
2020-04-23,19.600000381469727,15.979999542236328,18.420000076293945,17.770000457763672,33183800.0,17.770000457763672
2020-04-24,18.209999084472656,15.800000190734863,17.75,16.530000686645508,18651500.0,16.530000686645508
2020-04-27,12.949999809265137,11.899999618530273,12.65999984741211,12.420000076293945,33163300.0,12.420000076293945
2020-04-28,13.279999732971191,11.65999984741211,12.770000457763672,12.039999961853027,25905500.0,12.039999961853027
2020-04-29,13.5,12.59000015258789,12.920000076293945,12.829999923706055,23643600.0,12.829999923706055
2020-04-30,14.670000076293945,12.630000114440918,14.1899995803833,14.630000114440918,28013900.0,14.630000114440918
2020-05-01,14.5,13.350000381469727,14.050000190734863,13.920000076293945,15569100.0,13.920000076293945
2020-05-04,15.0,13.34000015258789,13.539999961853027,14.989999771118164,12701000.0,14.989999771118164
2020-05-05,17.56999969482422,16.100000381469727,16.139999389648438,17.510000228881836,22762900.0,17.510000228881836
2020-05-06,17.030000686645508,15.380000114440918,16.75,16.200000762939453,22146500.0,16.200000762939453
2020-05-07,17.739999771118164,15.279999732971191,17.649999618530273,15.5600004196167,23492000.0,15.5600004196167
2020-05-08,17.719999313354492,15.90999984741211,16.739999771118164,17.3799991607666,20585300.0,17.3799991607666
2020-05-11,17.329999923706055,15.960000038146973,17.170000076293945,16.479999542236328,16140300.0,16.479999542236328
2020-05-12,16.84000015258789,15.930000305175781,16.690000534057617,16.1299991607666,13689900.0,16.1299991607666
2020-05-13,16.729999542236328,15.239999771118164,16.3799991607666,15.710000038146973,13538800.0,15.710000038146973
2020-05-14,17.549999237060547,15.8100004196167,16.0,17.190000534057617,13637500.0,17.190000534057617
2020-05-15,18.75,17.43000030517578,17.8700008392334,18.610000610351562,16565800.0,18.610000610351562
2020-05-18,22.1299991607666,20.56999969482422,21.15999984741211,21.43000030517578,18890700.0,21.43000030517578
2020-05-19,21.780000686645508,20.540000915527344,21.530000686645508,21.170000076293945,13234900.0,21.170000076293945
2020-05-20,23.149999618530273,21.969999313354492,22.149999618530273,22.959999084472656,17637000.0,22.959999084472656
2020-05-21,24.0,22.719999313354492,23.950000762939453,23.459999084472656,16793900.0,23.459999084472656
2020-05-22,22.889999389648438,21.200000762939453,22.25,22.850000381469727,14516100.0,22.850000381469727
2020-05-26,24.100000381469727,22.65999984741211,23.780000686645508,23.690000534057617,14482600.0,23.690000534057617
2020-05-27,23.18000030517578,21.399999618530273,22.93000030517578,22.030000686645508,17424000.0,22.030000686645508
2020-05-28,23.459999084472656,21.40999984741211,21.959999084472656,22.649999618530273,15553900.0,22.649999618530273
2020-05-29,25.200000762939453,21.700000762939453,21.8700008392334,24.450000762939453,19610500.0,24.450000762939453
2020-06-01,25.299999237060547,23.579999923706055,23.709999084472656,25.139999389648438,15980900.0,25.139999389648438
2020-06-02,26.6200008392334,25.200000762939453,25.290000915527344,26.530000686645508,13664600.0,26.530000686645508
2020-06-03,27.639999389648438,25.639999389648438,26.43000030517578,26.549999237060547,20226600.0,26.549999237060547
2020-06-04,27.649999618530273,26.15999984741211,26.5,27.09000015258789,12913700.0,27.09000015258789
2020-06-05,30.290000915527344,29.239999771118164,29.399999618530273,29.770000457763672,15624500.0,29.770000457763672
2020-06-08,29.540000915527344,28.020000457763672,29.209999084472656,28.229999542236328,17472600.0,28.229999542236328
2020-06-09,29.43000030517578,27.489999771118164,27.770000457763672,28.899999618530273,12737000.0,28.899999618530273
2020-06-10,30.469999313354492,27.719999313354492,28.350000381469727,29.170000076293945,18124600.0,29.170000076293945
2020-06-11,26.639999389648438,24.219999313354492,25.899999618530273,25.020000457763672,21291800.0,25.020000457763672
2020-06-12,26.31999969482422,24.40999984741211,25.950000762939453,25.520000457763672,12279100.0,25.520000457763672
2020-06-15,26.780000686645508,23.389999389648438,23.579999923706055,26.520000457763672,13660700.0,26.520000457763672
2020-06-16,29.25,26.59000015258789,28.420000076293945,27.93000030517578,17497800.0,27.93000030517578
2020-06-17,28.18000030517578,26.940000534057617,27.59000015258789,27.200000762939453,9460500.0,27.200000762939453
2020-06-18,28.809999465942383,27.149999618530273,27.260000228881836,28.510000228881836,10083500.0,28.510000228881836
2020-06-19,30.6299991607666,27.809999465942383,30.219999313354492,29.299999237060547,15795400.0,29.299999237060547
2020-06-22,30.989999771118164,29.479999542236328,29.690000534057617,30.8700008392334,8907100.0,30.8700008392334
2020-06-23,31.84000015258789,30.0,31.56999969482422,30.34000015258789,11764600.0,30.34000015258789
2020-06-24,30.020000457763672,26.1299991607666,29.549999237060547,27.010000228881836,15746500.0,27.010000228881836
2020-06-25,28.600000381469727,26.68000030517578,26.920000076293945,28.489999771118164,9832800.0,28.489999771118164
2020-06-26,27.950000762939453,26.770000457763672,27.860000610351562,27.209999084472656,9014000.0,27.209999084472656
2020-06-29,29.530000686645508,27.760000228881836,28.1299991607666,29.1299991607666,8140200.0,29.1299991607666
2020-06-30,29.719999313354492,28.110000610351562,28.299999237060547,28.68000030517578,8923600.0,28.68000030517578
2020-07-01,29.639999389648438,28.440000534057617,29.239999771118164,29.280000686645508,8904100.0,29.280000686645508
2020-07-02,30.739999771118164,29.260000228881836,30.25,30.020000457763672,9853900.0,30.020000457763672
2020-07-06,31.139999389648438,30.1200008392334,30.170000076293945,30.510000228881836,6673600.0,30.510000228881836
2020-07-07,31.0,30.059999465942383,30.25,30.1299991607666,5306900.0,30.1299991607666
2020-07-08,31.149999618530273,30.219999313354492,30.6299991607666,30.950000762939453,6084500.0,30.950000762939453
2020-07-09,30.770000457763672,28.84000015258789,30.709999084472656,29.260000228881836,8590800.0,29.260000228881836
2020-07-10,30.850000381469727,29.219999313354492,29.43000030517578,30.610000610351562,6172800.0,30.610000610351562
2020-07-13,30.829999923706055,29.190000534057617,30.520000457763672,29.450000762939453,6355500.0,29.450000762939453
2020-07-14,30.68000030517578,28.709999084472656,28.860000610351562,30.260000228881836,6468600.0,30.260000228881836
2020-07-15,31.610000610351562,30.1200008392334,30.729999542236328,31.190000534057617,7011600.0,31.190000534057617
2020-07-16,31.440000534057617,30.530000686645508,30.899999618530273,30.809999465942383,3886200.0,30.809999465942383
2020-07-17,31.0,29.860000610351562,30.860000610351562,30.670000076293945,4222100.0,30.670000076293945
2020-07-20,31.010000228881836,29.56999969482422,30.260000228881836,30.719999313354492,5216700.0,30.719999313354492
2020-07-21,33.130001068115234,31.90999984741211,32.58000183105469,32.150001525878906,7234200.0,32.150001525878906
2020-07-22,32.439998626708984,31.270000457763672,31.5,32.15999984741211,4594800.0,32.15999984741211
2020-07-23,32.5,30.690000534057617,31.75,31.3799991607666,6621000.0,31.3799991607666
2020-07-24,31.5,30.530000686645508,31.270000457763672,31.31999969482422,5365500.0,31.31999969482422
2020-07-27,32.2400016784668,30.329999923706055,31.1200008392334,31.959999084472656,8428600.0,31.959999084472656
2020-07-28,31.540000915527344,30.93000030517578,31.350000381469727,31.1299991607666,4343200.0,31.1299991607666
2020-07-29,32.02000045776367,31.3700008392334,31.700000762939453,31.649999618530273,4227700.0,31.649999618530273
2020-07-30,30.34000015258789,28.079999923706055,30.329999923706055,30.1200008392334,11535900.0,30.1200008392334
2020-07-31,30.639999389648438,29.420000076293945,30.420000076293945,30.440000534057617,5929600.0,30.440000534057617
